epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,9177.36,0.32774,0.35477,0.79022,0.99478,0.99056,0.9948,0.95337,0.29313,0.21377,0.77435,0.002476,0.002476,0.002476
78,9419.56,0.32637,0.35278,0.79024,0.99468,0.99075,0.99481,0.95372,0.29299,0.21311,0.77432,0.002377,0.002377,0.002377
79,9516.52,0.3245,0.3508,0.78912,0.9948,0.99053,0.9948,0.95382,0.29263,0.21255,0.77424,0.002278,0.002278,0.002278
80,9607.15,0.32469,0.34826,0.79007,0.99396,0.99153,0.99481,0.95396,0.29244,0.21176,0.77417,0.002179,0.002179,0.002179
81,9702.41,0.32365,0.34746,0.78928,0.99372,0.99108,0.99477,0.95404,0.29246,0.21192,0.77417,0.00208,0.00208,0.00208
82,9796.19,0.32217,0.34542,0.78881,0.99405,0.99164,0.99482,0.95422,0.2923,0.21038,0.77413,0.001981,0.001981,0.001981
83,9890.81,0.32197,0.34478,0.78926,0.99409,0.99169,0.99482,0.95424,0.29219,0.20984,0.77407,0.001882,0.001882,0.001882
84,9982.51,0.3208,0.34203,0.78918,0.9944,0.99091,0.99482,0.95449,0.29197,0.20961,0.77404,0.001783,0.001783,0.001783
85,10074.2,0.31978,0.34049,0.78877,0.99462,0.99103,0.99483,0.95446,0.29178,0.20859,0.77399,0.001684,0.001684,0.001684
86,10166.2,0.31886,0.33704,0.78936,0.99422,0.99143,0.99481,0.9543,0.29173,0.20837,0.77395,0.001585,0.001585,0.001585
87,10319.9,0.31872,0.33642,0.78815,0.99427,0.99165,0.99483,0.95445,0.2916,0.20783,0.77388,0.001486,0.001486,0.001486
88,10420.5,0.31687,0.3339,0.78823,0.99457,0.99162,0.99484,0.95484,0.2913,0.20716,0.77383,0.001387,0.001387,0.001387
89,10517.8,0.3163,0.3321,0.78811,0.99393,0.99212,0.99484,0.95493,0.29112,0.20706,0.77377,0.001288,0.001288,0.001288
90,10626.7,0.31461,0.33014,0.78797,0.99425,0.99187,0.99484,0.95517,0.29088,0.20655,0.77372,0.001189,0.001189,0.001189
91,10744.4,0.30661,0.28977,0.7816,0.99344,0.99152,0.99478,0.95534,0.29046,0.20963,0.77371,0.00109,0.00109,0.00109
92,10831.6,0.30143,0.25981,0.78019,0.99268,0.99078,0.99472,0.9553,0.29008,0.21095,0.77367,0.000991,0.000991,0.000991
93,10918.8,0.29914,0.25401,0.7802,0.99286,0.99042,0.99469,0.95542,0.28979,0.21081,0.77364,0.000892,0.000892,0.000892
94,11006,0.29782,0.25097,0.77989,0.99309,0.98989,0.99467,0.95545,0.28957,0.21117,0.7736,0.000793,0.000793,0.000793
95,11093.4,0.29689,0.24854,0.78008,0.99313,0.98961,0.99466,0.95553,0.28937,0.21082,0.77356,0.000694,0.000694,0.000694
96,11180.7,0.29605,0.24582,0.77969,0.99281,0.99032,0.99467,0.95575,0.28912,0.20977,0.7735,0.000595,0.000595,0.000595
97,11268.7,0.29551,0.24474,0.77988,0.99276,0.99047,0.99466,0.95566,0.28902,0.20937,0.77347,0.000496,0.000496,0.000496
98,11356.3,0.29433,0.24108,0.7797,0.99227,0.9905,0.99459,0.95543,0.28887,0.20963,0.77342,0.000397,0.000397,0.000397
99,11444.1,0.29364,0.24101,0.77948,0.99236,0.99028,0.99456,0.9555,0.28876,0.20959,0.77339,0.000298,0.000298,0.000298
100,11531.7,0.2928,0.23949,0.77894,0.99196,0.99016,0.99452,0.9555,0.28863,0.20983,0.77335,0.000199,0.000199,0.000199
